S|N,description,old price,old lp,old hp,new price,new lp,new hp,discount,ratings
1,Men's Comfortable Breathable Running Shoes Outdoor Shoes,10000,,,4490,,,55%,4.3
2,Men's Fashion Sneakers Trendy Running Shoes -Black,20000,,,,6550,6990,67%,4.1
3,Shark Bottom Tide Shoes Men's Personality Sneakers -White,15000,,,,6550,7100,56%,4.2
4,2021 Mens Casual Classic Shoes Running Sneakers - White,12000,,,,5999,6999,50%,4.2
5,2021 Womens Casual High-Top Shoes Running Sneakers - Beige,16000,,,,6224,6999,61%,4.3
6,ENS Smart Unisex Classic Sneakers - Grey,9790,,,8430,,,14%,4.4
7,Men's Fashion Breathable Sports Shoes - Black Green,5334,,,2900,,,46%,4.0
8,Men's Fashion Sneakers Breathable Sports Shoes -White,8233,,,4199,,,49%,4.3
9,2021 Mens Casual Board Shoes Running Sneakers - White,10000,,,,5499,5999,45%,4.0
10,ENS Smart Unisex Classic Sneakers - Black,9790,,,8430,,,14%,4.3
11,Causal Sneaker Fashion Footwear Shoes Men Sneakers Sports,10000,,,4690,,,53%,4.2
12,Solid Color Men Canvas Shoes Breathable Outdoor Casual-black,,6471,7765,5980,,,23%,4.1
13,DNM Unisex Leisure Sneaker - Dark Blue,4700,,,3890,,,17%,4.1
14,Men's Slip-on Sneakers - Black,9000,,,3400,,,62%,4.1
15,DNM Unisex Leisure Sneaker In Black,4700,,,3890,,,17%,4.1
16,2021 Men's Casual Shoes Breathable Shoes Running Sneakers,10000,,,5990,,,40%,4.3
17,2021 Mens Casual Classic Shoes Running Sneakers-White/Black,16000,,,,6499,6999,59%,4.3
18,Men's Lace-up Canvas - Blue.,7500,,,5490,,,27%,3.9
19,New Men's Sneakers Thick-soled Casual Shoes -Yellow,15000,,,5990,,,60%,4.2
20,Men's Comfortable Breathable Running Shoes Outdoor Shoes,10000,,,4490,,,55%,4.1
21,Trendy Smart Unisex Classic Sneakers - Grey,,,,8500,,,,4.3
22,Men's Breathable Mesh Sneakers - Black,5334,,,2900,,,46%,4.1
23,2021 Mens Casual Basketball Shoes Running Sneakers - Black,12000,,,,5999,6499,50%,4.1
24,2021 Men's Casual Shoes Breathable Shoes Running Sneakers,10000,,,6200,,,38%,4.3
25,2021 Mens Casual Retro Shoes Running Sneakers - Khaki,12000,,,,4499,4999,63%,4.4
26,Men Sneakers Sports Causal Sneaker Fashion Footwear Shoes,10000,,,4590,,,54%,4.5
27,Men's Comfortable Breathable Running Shoes Outdoor Shoes,10000,,,4490,,,55%,4.5
28,2-In-1 Elegant Designer Athletic Sneakers & Ankle Socks Set.,6500,,,4890,,,25%,4.0
29,Unisex Athletic Slip On Elastic Dd  Casual Shoes-Black,6000,,,3650,,,39%,3.9
30,Men's Comfortable Breathable Running Shoes Outdoor Shoes,10000,,,4490,,,55%,4.8
31,Men Sneakers Running Shoes Lace-up Sport Shoes,10000,,,4590,,,54%,4.1
32,Men's Comfortable Breathable Running Shoes Outdoor Shoes,10000,,,4250,,,58%,4.4
33,Men's Breathable Canvas Shoes Skateboarding Shoes -Blue,8640,,,4990,,,42%,4.3
34,Men Sneakers Running Shoes Lace-up Sport Shoes,10000,,,4650,,,54%,4.3
35,Men Sneakers Sports Causal Sneaker Fashion Footwear Shoes,15000,,,3990,,,73%,4.0
36,2021 Mens Casual Samurai Shoes Running Sneakers - Black/Blue,12000,,,,4999,5499,58%,4.1
37,Men Sneakers Running Lace-up Outdoor Sport Shoes-white.,7980,,,6980,,,13%,3.9
38,Men Smart Nice Fashion Comfortable Sneakers/Canvas - White,7000,,,3700,,,47%,3.7
39,Multicolor Fabric-Style Sneakers,4700,,,,4390,4700,7%,4.0
40,Trendy Designed Causal Unisex Shoe/Sneakers,7500,,,5200,,,31%,4.5
